sasdate,^GSPC,^HSCE,^HSI,^KS200,^N225,^STOXX50E
1998-01-05,977.0700073,3031.689941,10303.5,44.77000046,14956.83984,0
1998-01-06,966.5800171,2911.840088,10135.5,45.77000046,14896.40039,0
1998-01-07,964,2557.550049,9538.599609,45.75,15028.16992,0
1998-01-08,956.0499878,2341.949951,9254.5,47.49000168,15019.17969,0
1998-01-09,927.6900024,2305.870117,8894.599609,46.34000015,14995.09961,0
1998-01-12,939.210022,1932.689941,8121.100098,51.20999908,14664.44043,0
1998-01-13,952.1199951,2039.72998,8720,51.68999863,14755.94043,0
1998-01-14,957.9400024,2173.600098,9226.599609,53,15121.98047,0
1998-01-15,950.7299805,2082.459961,8579,56.63000107,15121.98047,0
1998-01-16,961.5100098,2031.130005,8900,54.93000031,16046.4502,0
1998-01-19,961.5100098,2216.939941,9400.400391,60.20000076,16262.04004,0
1998-01-20,978.5999756,2198.570068,9433.700195,61.09999847,16366.53027,0
1998-01-21,970.8099976,2170.820068,9246.799805,57.68000031,16684.41992,0
1998-01-22,963.039978,2021.920044,8883.700195,54.93000031,16405.68945,0
1998-01-23,957.5900269,2022.099976,8920.200195,55.61000061,16789.10938,0
1998-01-26,956.9500122,2037.72998,8973.900391,59.81999969,17073.33008,0
1998-01-27,969.0200195,2037.72998,9252.400391,59.81999969,16981.61914,0
1998-01-28,977.460022,2037.72998,9252.400391,59.81999969,16973.83008,0
1998-01-29,985.4899902,2037.72998,9252.400391,59.81999969,17014.58984,0
1998-01-30,980.2800293,2037.72998,9252.400391,64.48000336,16628.4707,0
1998-02-02,1001.27002,2491.330078,10578.59961,62.34999847,16776.82031,0
1998-02-03,1006,2635.370117,10525.5,62.68999863,17022.98047,0
1998-02-04,1006.900024,2577.830078,10302.59961,62.00999832,16882.61914,0
1998-02-05,1003.539978,2631.679932,10442.09961,59.72000122,17003.30078,0
1998-02-06,1012.460022,2806.929932,10485.90039,61.18999863,17040.06055,0
1998-02-09,1010.73999,3069.860107,10873.2002,62.84000015,17205,0
1998-02-10,1019.01001,2948.840088,10859.7002,61.22999954,17205.08984,0
1998-02-11,1020.01001,2928.350098,10793.40039,59.09000015,17205.08984,0
1998-02-12,1024.140015,2859,10620,58.38000107,17174.92969,0
1998-02-13,1020.090027,2707.22998,10274.59961,57.65999985,16791.00977,0
1998-02-16,1020.090027,2660.379883,10124,54.68000031,16775.51953,0
1998-02-17,1022.76001,2657.689941,10232,54.31000137,16790.71094,0
1998-02-18,1032.079956,2695.379883,10671,56.20000076,16613.89063,0
1998-02-19,1028.280029,2690.649902,10581.2998,59.09000015,16616.48047,0
1998-02-20,1034.209961,2721.780029,10600,60.49000168,16756.24023,0
1998-02-23,1038.140015,2716,10685.2002,63.11999893,16609.49023,0
1998-02-24,1030.560059,2955.919922,10683.2998,62.79000092,16198,0
1998-02-25,1042.900024,2953.100098,10886.7002,59.84999847,16360.63965,0
1998-02-26,1048.670044,2990.570068,11224.7998,60.95999908,16501.69922,0
1998-02-27,1049.339966,3123.360107,11480.7002,64.16000366,16831.66992,0
1998-03-02,1047.699951,3038.77002,11318.7998,67.95999908,17264.33984,0
1998-03-03,1052.02002,3095.219971,11425.5,67.48000336,17168.33008,0
1998-03-04,1047.329956,3098.610107,11350.7998,67.5,17095.59961,0
1998-03-05,1035.050049,2822.040039,10803.7002,62.58000183,16848.55078,0
1998-03-06,1055.689941,2873.679932,10919.5,61.06000137,17131.9707,0
1998-03-09,1052.310059,2840.110107,10994.09961,59.11000061,16972.5293,0
1998-03-10,1064.25,2870.550049,10898.59961,61.52999878,16982.82031,0
1998-03-11,1068.469971,2888.919922,11118.90039,62.25,16756.14063,0
1998-03-12,1069.920044,2840.929932,10902.5,62.56999969,16575.2207,0
1998-03-13,1068.609985,2866.98999,11057,62.61999893,17060.14063,0
1998-03-16,1079.27002,2883.22998,11181.5,61.40000153,16861.14063,0
1998-03-17,1080.449951,2937.459961,11255.5,59.66999817,16997.19922,0
1998-03-18,1085.52002,2940.679932,11121.7002,59.86999893,16619.67969,0
1998-03-19,1089.73999,3044.810059,11445,60.16999817,16679.01953,0
1998-03-20,1099.160034,3025.699951,11564.2002,60.61999893,16830.4707,0
1998-03-23,1095.550049,3106.51001,11594.2998,58.72999954,16868.83008,0
1998-03-24,1105.650024,3122.409912,11645.40039,58.31999969,16606.39063,0
1998-03-25,1101.930054,3294.840088,11810.59961,58.61000061,16658.33984,0
1998-03-26,1100.800049,3248.379883,11757.90039,57.36000061,16980.61914,0
1998-03-27,1095.439941,3179.899902,11735.5,57.72999954,16739.25977,0
1998-03-30,1093.599976,3090.399902,11503.7998,55.43999863,16263.04004,0
1998-03-31,1101.75,3089.969971,11518.7002,55.27999878,16527.16992,0
1998-04-01,1108.150024,3032.73999,11331.40039,53.50999832,16241.66016,0
